date,000300,000688,000922,000015,399989,931071,000069,930781,399975,399967,931066,930598,000819,950125,931637,399986,930633,931946
2025-03-06,1.38,3.48,-0.02,-0.2,2.16,3.89,1.52,3.79,2.39,1.52,0.86,1.25,1.41,3.69,6.37,-0.55,1.1,0.49
2025-03-07,-0.31,-1.24,0.14,-0.07,-1.32,-1.61,-0.11,-1.83,-1.64,1.32,2.37,0.79,1.33,-0.88,-0.89,0.14,-0.21,0.06
2025-03-10,-0.39,-0.22,0.29,0.22,0.68,-1.08,0.03,-0.71,-0.78,0.52,0.46,0.67,1.18,-1.28,-2.85,-0.91,-0.17,0.32
2025-03-11,0.32,-0.4,0.64,0.79,-0.07,-0.29,0.48,1.57,0.37,2.06,2.57,1.95,0.55,0.45,0.57,0.75,1.13,1.89
2025-03-12,-0.36,-0.73,-0.4,-0.27,-0.98,0.1,-0.63,2.42,0.56,-0.4,-0.72,-0.67,0.07,-1.97,-1.9,-0.29,-0.93,-0.96
2025-03-13,-0.4,-2.11,0.7,1.01,-0.86,-2.49,-0.32,-2.76,-0.64,-0.22,0.66,-1.33,0.53,-2.18,-1.68,0.55,-0.12,0.07
2025-03-14,2.43,1.72,0.76,0.7,2.65,1.83,3.64,2.3,3.27,0.13,-0.14,0.84,1.25,1.81,2.65,1.25,2.59,1.34
2025-03-17,-0.24,-0.45,0.37,0.18,-0.4,-0.35,-0.01,-0.39,-1.13,-0.28,-0.37,-0.07,-0.97,0.79,0.72,0.32,0.25,0.78
2025-03-18,0.27,0.61,-0.17,-0.35,1.49,1.0,0.34,-0.14,0.14,-0.43,-0.91,1.2,1.39,-0.2,3.19,-0.12,-0.15,-0.41
2025-03-19,0.06,-1.18,0.15,0.14,-0.38,-2.06,-0.02,-1.84,0.0,-0.95,-0.73,-0.3,0.08,-1.3,-0.47,1.38,-0.2,0.01
2025-03-20,-0.88,-1.13,-0.27,-0.15,-1.42,-1.21,-0.9,-0.74,-0.8,0.55,1.05,-0.73,-0.29,-1.35,-4.03,-0.56,-0.61,-0.74
2025-03-21,-1.52,-2.06,-0.43,-0.33,-1.95,-3.06,-1.76,-2.03,-1.63,-0.63,-1.01,-2.43,-2.37,-0.98,-2.5,-1.21,-0.33,-0.69
2025-03-24,0.51,0.29,0.56,0.75,-0.78,0.23,0.25,-0.86,-0.11,-1.59,-1.62,0.44,1.68,1.66,1.1,0.89,1.68,-0.03
2025-03-25,-0.06,-1.36,0.63,0.83,0.32,-2.3,-0.1,-1.25,-0.4,-0.37,0.35,-0.18,0.4,-0.86,-3.83,0.44,1.16,1.09
2025-03-26,-0.33,-0.26,-0.14,-0.1,-0.5,-0.2,0.0,0.37,-0.07,-0.1,-0.07,2.03,-0.55,-0.48,1.04,-1.44,0.43,1.63
2025-03-27,0.33,1.12,-0.09,0.01,1.45,0.13,1.6,-0.21,0.15,-0.53,-0.79,-1.47,-1.02,1.41,-0.21,0.45,-1.1,0.09
2025-03-28,-0.44,-1.07,-0.73,-0.65,-1.16,-0.62,-0.59,1.52,-0.06,-0.86,-0.55,-0.59,-0.01,-2.59,-0.74,-0.33,-1.81,-1.07
2025-03-31,-0.71,-0.66,-0.52,-0.21,-1.25,0.09,-0.52,-1.61,-1.87,-1.6,-2.39,-2.68,-0.81,0.26,-2.09,0.31,-2.01,-1.53
2025-04-01,0.01,0.16,0.97,0.82,2.3,-0.75,0.99,0.04,-0.21,1.18,2.26,0.56,0.22,1.27,-0.21,-0.54,1.12,1.19
2025-04-02,-0.08,-0.16,0.36,0.5,-0.96,0.4,-0.6,0.57,0.54,-1.12,-2.26,0.26,-1.02,-0.65,-0.07,0.9,0.14,-0.11
2025-04-03,-0.59,-0.46,0.14,0.18,-1.34,-1.94,-0.39,0.05,-0.18,-0.46,-0.09,-0.64,-1.48,-0.4,-1.01,0.27,1.39,2.26
2025-04-07,-7.05,-9.22,-6.67,-6.29,-8.95,-12.03,-5.96,-11.64,-9.99,-8.8,-7.46,-7.61,-8.25,-8.91,-16.62,-4.61,-7.12,-2.07
2025-04-08,1.71,1.72,2.55,2.86,0.53,-0.89,1.85,1.06,1.6,2.02,2.27,0.6,-0.34,1.03,3.63,1.66,3.93,7.42
2025-04-09,0.99,4.31,0.3,0.23,0.51,3.41,1.39,3.16,1.96,5.39,5.73,1.93,1.27,4.58,3.12,-0.9,5.51,0.45
2025-04-10,1.31,1.09,0.95,0.87,1.73,2.27,1.13,2.59,1.42,1.22,0.42,0.96,3.52,1.43,1.94,0.65,2.0,0.25
2025-04-11,0.41,2.07,-0.45,-0.66,-0.1,1.86,-0.38,-0.64,0.21,1.17,1.07,-0.03,0.92,3.6,0.72,0.26,-1.07,-2.8
2025-04-14,0.23,0.25,0.89,1.14,0.19,0.77,0.07,1.19,0.06,0.16,0.04,0.5,2.27,-1.0,1.84,0.61,0.58,0.52
2025-04-15,0.06,-0.78,0.48,0.45,-0.51,-0.8,-0.03,0.43,-0.32,-1.79,-1.81,-0.98,-0.65,-1.23,-0.15,1.52,-1.27,-0.26
2025-04-16,0.31,0.81,0.45,0.65,-0.96,-0.82,0.36,-0.8,-0.2,-0.41,0.01,-0.75,-0.02,0.01,-4.01,1.01,1.92,-0.78
2025-04-17,-0.02,0.23,-0.21,-0.28,0.08,0.51,-0.19,0.19,-0.05,-0.11,-0.14,-0.64,-0.6,-0.13,1.76,0.07,1.04,-0.12
2025-04-18,0.01,-0.81,0.04,-0.1,-0.27,0.12,-0.81,0.22,0.61,-0.65,-0.83,-0.84,-0.26,-1.31,,0.78,-2.94,-1.3
2025-04-21,0.33,1.07,-0.14,-0.29,0.96,2.09,0.38,2.78,0.56,1.82,1.69,1.64,3.75,1.11,,-1.24,-0.11,0.5
