日期,收盘点位,市值(港币),PE-TTM等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2025-03-21,=5639.5600,=14266043369515.5605,=64.4146,=0.3728,=529.5276,=82.2852,=44.7246
2025-03-20,=5836.2800,=14625123929967.5430,=62.9893,=0.3514,=534.5937,=82.3649,=44.5730
2025-03-19,=6041.1900,=15172756114258.2188,=65.9127,=0.3848,=534.5937,=82.4445,=44.5730
2025-03-18,=6105.5000,=15247833860913.3008,=61.4494,=0.3336,=534.5937,=82.5922,=44.5730
2025-03-17,=5872.8100,=14642727394144.4395,=59.9999,=0.3208,=534.5937,=82.7399,=44.5730
2025-03-14,=5880.7800,=14596805494014.9902,=59.0038,=0.3106,=534.5937,=82.8326,=44.5730
2025-03-13,=5747.7700,=14204912469204.7656,=53.2518,=0.2732,=537.7112,=82.9252,=44.5274
2025-03-12,=5845.3600,=14393959540445.9629,=53.5923,=0.2743,=537.7112,=83.0616,=44.5274
2025-03-11,=5967.2300,=14604904120449.5801,=57.0419,=0.2956,=537.7112,=83.1979,=44.5274
2025-03-10,=5885.4900,=14535619875337.4453,=60.1612,=0.3205,=537.7112,=83.3136,=44.5274
2025-03-07,=6037.4400,=14698436350154.0996,=34.9481,=0.0993,=537.7112,=83.4293,=44.5274
2025-03-06,=6068.7700,=14844066089689.2031,=35.8371,=0.1020,=541.5951,=83.5384,=44.5274
2025-03-05,=5757.9400,=14012481146046.3145,=34.4347,=0.0951,=541.5951,=83.6475,=44.5730
2025-03-04,=5535.6400,=13552052838746.0020,=32.7624,=0.0749,=541.5951,=83.8223,=44.7246
2025-03-03,=5535.8600,=13509336654075.1406,=31.5980,=0.0538,=541.5951,=83.9972,=44.7326
2025-02-28,=5568.1400,=13487316522724.4922,=31.6201,=0.0538,=541.5951,=84.1276,=44.8120
2025-02-27,=5881.0100,=14124651421402.6055,=33.3795,=0.0813,=547.6749,=84.2580,=44.8120
2025-02-26,=5953.7900,=14297913522633.1641,=34.4388,=0.0920,=547.6749,=84.3480,=45.2043
2025-02-25,=5698.8200,=13681708643929.9785,=32.6614,=0.0708,=547.6749,=84.4379,=45.2144
2025-02-24,=5789.5200,=14020035724986.8418,=34.4180,=0.0895,=547.6749,=84.4905,=45.3472
2025-02-21,=5859.3000,=14269174587736.5508,=35.9793,=0.0957,=547.6749,=84.5431,=45.3472
2025-02-20,=5500.0200,=13366832832313.8105,=37.2181,=0.0985,=555.1972,=84.6908,=45.3472
2025-02-19,=5672.2400,=13726391964467.1699,=38.1649,=0.1004,=555.1972,=84.8385,=45.5265
2025-02-18,=5639.0500,=13812347271072.5215,=38.8888,=0.1031,=555.1972,=84.9443,=45.5482
2025-02-17,=5499.2600,=13467851161398.0938,=38.1237,=0.0996,=555.1972,=85.0501,=45.5794
2025-02-14,=5526.2200,=13407621240657.2813,=39.4981,=0.1033,=555.1972,=85.1380,=45.6082
2025-02-13,=5235.2800,=12632642215128.9004,=36.2860,=0.0963,=573.9507,=85.2258,=45.6082
2025-02-12,=5281.1800,=12673361881365.2520,=36.4138,=0.0963,=573.9507,=85.2746,=45.7780
2025-02-11,=5142.3100,=12274163857092.1094,=34.9624,=0.0938,=573.9507,=85.3234,=45.7957
2025-02-10,=5286.6600,=12530731321757.4395,=35.5663,=0.0938,=573.9507,=85.3274,=45.8086
2025-02-07,=5150.3500,=12176045509457.7598,=34.5770,=0.0912,=573.9507,=85.3314,=45.8694
2025-02-06,=5059.3800,=11962960349566.1328,=33.8845,=0.0833,=605.6720,=85.3641,=45.8694
2025-02-05,=4930.2000,=11785871007627.3809,=33.2911,=0.0797,=605.6720,=85.3967,=45.8821
2025-02-04,=4977.3800,=11894360598031.4883,=33.3331,=0.0798,=605.6720,=85.4326,=45.8949
2025-02-03,=4737.4600,=11417506165612.1016,=32.6115,=0.0691,=605.6720,=85.4686,=46.0010
2025-01-28,=4723.6300,=11357997034470.2891,=33.0726,=0.0755,=605.6720,=85.6044,=46.0030
2025-01-27,=4687.3400,=11237510935002.3691,=32.3841,=0.0656,=619.3633,=85.7403,=46.0030
2025-01-24,=4657.6100,=11117555095638.6484,=32.4471,=0.0657,=619.3633,=85.8057,=46.1223
2025-01-23,=4515.4800,=10840444815142.2910,=31.6824,=0.0568,=619.3633,=85.8710,=46.1407
2025-01-22,=4581.0900,=10919788561417.5469,=31.8786,=0.0586,=619.3633,=85.9337,=46.1759
2025-01-21,=4693.7200,=11163330805029.5313,=31.4634,=0.0505,=619.3633,=85.9964,=46.2116
2025-01-20,=4595.2000,=11060935117350.2539,=31.2531,=0.0497,=623.2481,=86.1285,=46.2116
2025-01-17,=4479.1900,=10756990121759.3301,=31.1018,=0.0479,=623.2481,=86.2605,=46.2761
2025-01-16,=4417.3700,=10706002113625.1895,=30.9601,=0.0443,=623.2481,=86.2698,=46.3062
2025-01-15,=4363.7900,=10600312894217.2207,=31.0221,=0.0444,=623.2481,=86.2791,=46.4051
2025-01-14,=4352.0400,=10537003300561.8789,=30.7526,=0.0390,=623.2481,=86.3626,=46.4776
2025-01-13,=4221.9200,=10270152751584.6699,=29.6735,=0.0309,=629.2419,=86.4461,=46.4776
2025-01-10,=4260.8200,=10399089473235.8438,=30.2659,=0.0345,=629.2419,=86.5760,=46.5108
2025-01-09,=4311.5400,=10543153909256.3027,=31.0575,=0.0418,=629.2419,=86.7058,=46.5166
2025-01-08,=4307.4000,=10491114456350.9883,=30.6521,=0.0364,=629.2419,=86.8235,=46.5167
2025-01-07,=4354.8000,=10628422905860.3691,=30.0904,=0.0328,=629.2419,=86.9411,=46.6894
2025-01-06,=4395.0800,=10959968098288.9531,=29.9068,=0.0310,=745.9628,=86.9671,=46.6894
2025-01-03,=4403.1200,=11021513535379.5488,=30.5898,=0.0338,=745.9628,=86.9931,=46.7489
2025-01-02,=4357.5300,=10928008513871.3887,=30.8047,=0.0338,=745.9628,=87.0513,=46.8422
2024-12-31,=4468.1100,=11086655642600.1094,=31.5867,=0.0422,=1274.9499,=92.9334,=47.8143
2024-12-30,=4500.6000,=11139488800712.5996,=31.6653,=0.0441,=1274.9499,=92.9800,=47.9626
2024-12-27,=4538.5900,=11188238863895.1191,=31.4996,=0.0395,=1274.9499,=93.0266,=48.1046
2024-12-24,=4507.6500,=11198334190198.9707,=32.0627,=0.0469,=1282.4425,=93.0310,=48.1046
2024-12-23,=4457.8500,=11097033065841.9707,=31.5315,=0.0396,=1282.4425,=93.0354,=48.2049
2024-12-20,=4444.1900,=11120112687897.6504,=30.8880,=0.0369,=1282.4425,=93.1118,=48.2759
2024-12-19,=4439.4700,=11058986853593.9102,=30.8600,=0.0351,=1282.4425,=93.1883,=48.5287
2024-12-18,=4468.8500,=11055101530483.7402,=30.8693,=0.0351,=1282.4425,=93.3273,=48.8067
2024-12-17,=4389.0800,=10907287841638.8691,=30.8436,=0.0342,=1319.8711,=93.4664,=48.8067
2024-12-16,=4414.7000,=10980059424728.5098,=31.0806,=0.0342,=1319.8711,=93.6410,=48.9179
2024-12-13,=4479.6000,=11135886626703.2109,=31.6375,=0.0361,=1319.8711,=93.8157,=49.1953
2024-12-12,=4600.8200,=11389259234189.5098,=32.5730,=0.0436,=1319.8711,=93.8634,=49.2081
